id,question_id,country_id,text,created
1,1,1,What is your age? / Quel est votre âge?,2016-07-13 00:10:41
124,1,2,What is your age?,2016-07-13 00:10:41
249,1,3,What is your age?,2016-07-13 00:10:42
2,2,1,Etes-vous..? / Are you..? ,2016-07-13 00:10:41
125,2,2,What is your gender?,2016-07-13 00:10:41
250,2,3,What is your gender?,2016-07-13 00:10:42
3,3,1,What is your relationship status ?,2016-07-13 00:10:41
126,3,2,What is your relationship status?,2016-07-13 00:10:41
260,3,3,What is your relationship status?,2016-07-13 00:10:42
4,4,1,What is the highest level of education you have completed?,2016-07-13 00:10:41
127,4,2,What is the highest level of education you have completed?,2016-07-13 00:10:41
261,4,3,What is the highest level of education you have completed?,2016-07-13 00:10:42
5,5,1,"In your household, are you the person who makes most of the daily purchasing decisions?",2016-07-13 00:10:41
128,5,2,"In your household, are you the person who makes most of the daily purchasing decisions?",2016-07-13 00:10:41
263,5,3,"In your household, are you the person who makes most of the daily purchasing decisions?
",2016-07-13 00:10:42
6,6,1,Which of the following pets are present in your household?,2016-07-13 00:10:41
129,6,2,Which of the following pets are present in your household?,2016-07-13 00:10:41
264,6,3,"Which of the following pets are present in your household?
",2016-07-13 00:10:42
7,7,1,What is your sexual orientation?,2016-07-13 00:10:41
130,7,2,What is your sexual orientation?,2016-07-13 00:10:41
265,7,3,"What is your sexual orientation?
",2016-07-13 00:10:42
8,8,1,How many people live in your household including yourself? ,2016-07-13 00:10:41
131,8,2,How many people live in your household including yourself?,2016-07-13 00:10:41
266,8,3,"How many people live in your household including yourself?
",2016-07-13 00:10:42
9,9,1,What best describes your current household?,2016-07-13 00:10:41
132,9,2,What best describes your current household?,2016-07-13 00:10:41
267,9,3,What best describes your current household?,2016-07-13 00:10:42
10,10,1,"Do you, or does anyone in your household, work in any of the following industries?  / Vous le faites, ou at-il quelqu'un dans votre ménage, travailler dans n'importe quel des industries suivantes?",2016-07-13 00:10:41
133,10,2,"Do you, or does anyone in your household, work in any of the following industries? ",2016-07-13 00:10:41
268,10,3,"Do you, or does anyone in your household, work in any of the following industries?
",2016-07-13 00:10:42
11,11,1,Approximately what is the annual revenue for your organization?,2016-07-13 00:10:41
134,11,2,Approximately what is the annual revenue for your organization?,2016-07-13 00:10:41
269,11,3,"Approximately what is the annual revenue for your organization?
",2016-07-13 00:10:42
12,12,1,Which department do you primarily work within at your organization?,2016-07-13 00:10:41
135,12,2,Which department do you primarily work within at your organization?,2016-07-13 00:10:41
270,12,3,"Which department do you primarily work within at your organization?
",2016-07-13 00:10:42
13,13,1,Do you drive a car regularly?,2016-07-13 00:10:41
136,13,2,Do you drive a car regularly?,2016-07-13 00:10:41
271,13,3,"Do you drive a car regularly?
",2016-07-13 00:10:42
14,14,1,Are you the primary decision maker in your household for automotive-related purchases?,2016-07-13 00:10:41
137,14,2,Are you the primary decision maker in your household for automotive-related purchases?,2016-07-13 00:10:41
272,14,3,Are you the primary decision maker in your household for automotive-related purchases?,2016-07-13 00:10:42
15,15,1,"If you own/lease a car(s), which brand(s) are they?",2016-07-13 00:10:41
138,15,2,"If you own/lease a car(s), which brand(s) are they?",2016-07-13 00:10:41
273,15,3,"If you own/lease a car(s), which brand(s) are they?
",2016-07-13 00:10:42
16,16,1,How would you describe the vehicle(s) you own/lease?,2016-07-13 00:10:41
139,16,2,How would you describe the vehicle(s) you own/lease?,2016-07-13 00:10:41
274,16,3,How would you describe the vehicle(s) you own/lease?,2016-07-13 00:10:42
17,17,1,What year was your main vehicle (owned or leased) manufactured?,2016-07-13 00:10:41
140,17,2,What year was your main vehicle (owned or leased) manufactured?,2016-07-13 00:10:41
275,17,3,What year was your main vehicle (owned or leased) manufactured?,2016-07-13 00:10:42
18,18,1,In which year did you purchase/lease your main vehicle?,2016-07-13 00:10:41
141,18,2,In which year did you purchase/lease your main vehicle?,2016-07-13 00:10:41
276,18,3,In which year did you purchase/lease your main vehicle?,2016-07-13 00:10:42
19,19,1,If you own/lease a vehicle(s) did you buy them new or used?,2016-07-13 00:10:41
142,19,2,If you own/lease a vehicle(s) did you buy them new or used?,2016-07-13 00:10:41
277,19,3,"If you own/lease a vehicle(s) did you buy them new or used?
",2016-07-13 00:10:42
20,20,1,Do you own a motorcycle?,2016-07-13 00:10:41
143,20,2,Do you own a motorcycle?,2016-07-13 00:10:41
278,20,3,"Do you own a motorcycle?
",2016-07-13 00:10:42
21,21,1,How often do you eat fast food (any quick service restaurant) in any given week (on average)?,2016-07-13 00:10:41
144,21,2,How often do you eat fast food (any quick service restaurant) in any given week (on average)?,2016-07-13 00:10:41
279,21,3,"How often do you eat fast food (any quick service restaurant) in any given week (on average)?
",2016-07-13 00:10:42
22,22,1,Which fast food (quick service) restaurants have you visited ever?,2016-07-13 00:10:41
145,22,2,Which fast food (quick service) restaurants have you visited ever?,2016-07-13 00:10:41
280,22,3,"Which fast food (quick service) restaurants have you visited ever?
",2016-07-13 00:10:42
23,23,1,"Which, if any, of these drinks have you consumed in the past four weeks?",2016-07-13 00:10:41
146,23,2,"Which, if any, of these drinks have you consumed in the past four weeks?",2016-07-13 00:10:41
281,23,3,"Which, if any, of these drinks have you consumed in the past four weeks?
",2016-07-13 00:10:42
24,24,1,Which of the following beverages do your regularly consume?,2016-07-13 00:10:41
147,24,2,Which of the following beverages do your regularly consume?,2016-07-13 00:10:41
282,24,3,"Which of the following beverages do you regularly consume?
",2016-07-13 00:10:42
25,25,1,"On average, how many alcoholic drinks do you consume in a week?",2016-07-13 00:10:41
148,25,2,"On average, how many alcoholic drinks do you consume in a week?",2016-07-13 00:10:41
283,25,3,"On average, how many alcoholic drinks do you consume in a week?",2016-07-13 00:10:42
26,26,1,What are your hobbies and interests?,2016-07-13 00:10:41
149,26,2,What are your hobbies and interests?,2016-07-13 00:10:41
284,26,3,What are your hobbies and interests?,2016-07-13 00:10:42
27,27,1,How often do you go to the movie theater?,2016-07-13 00:10:41
150,27,2,How often do you go to the movie theater?,2016-07-13 00:10:41
285,27,3,How often do you go to the movie theater?,2016-07-13 00:10:42
28,28,1,What kinds of movies do you watch when you go to the movie theater?,2016-07-13 00:10:41
151,28,2,What kinds of movies do you watch when you go to the movie theater?,2016-07-13 00:10:41
286,28,3,What kinds of movies do you watch when you go to the movie theater?,2016-07-13 00:10:42
29,29,1,How frequently do you rent or download movies for home viewing (on average)?,2016-07-13 00:10:41
152,29,2,How frequently do you rent or download movies for home viewing (on average)?,2016-07-13 00:10:41
287,29,3,How frequently do you rent or download movies for home viewing (on average)?,2016-07-13 00:10:42
30,30,1,How many DVDs/Blu-rays do you purchase on a monthly basis (on average)?,2016-07-13 00:10:41
153,30,2,How many DVDs/Blu-rays do you purchase on a monthly basis (on average)?,2016-07-13 00:10:41
288,30,3,How many DVDs/Blu-rays do you purchase on a monthly basis (on average)?,2016-07-13 00:10:42
31,31,1,How many hours a week do you exercise/participate in sports?,2016-07-13 00:10:41
154,31,2,How many hours a week do you exercise/participate in sports?,2016-07-13 00:10:41
289,31,3,How many hours a week do you exercise/participate in sports?,2016-07-13 00:10:42
32,32,1,What sports do you regularly participate in?,2016-07-13 00:10:41
155,32,2,What sports do you regularly participate in?,2016-07-13 00:10:41
290,32,3,"What sports do you regularly participate in?
",2016-07-13 00:10:42
33,33,1,What kind of gambling do you participate in?,2016-07-13 00:10:41
156,33,2,What kind of gambling do you participate in?,2016-07-13 00:10:41
291,33,3,What kind of gambling do you participate in?,2016-07-13 00:10:42
34,34,1,Which of the following electronic products do you own?,2016-07-13 00:10:41
157,34,2,Which of the following electronic products do you own?,2016-07-13 00:10:41
292,34,3,Which of the following electronic products do you own?,2016-07-13 00:10:42
35,35,1,Would you consider yourself to be an early adopter of new technology (the first to buy new gadgets/electronics/etc)?,2016-07-13 00:10:41
158,35,2,Would you consider yourself to be an early adopter of new technology (the first to buy new gadgets/electronics/etc)?,2016-07-13 00:10:41
293,35,3,Would you consider yourself to be an early adopter of new technology (the first to buy new gadgets/electronics/etc)?,2016-07-13 00:10:42
36,36,1,Which of these is your carrier for your primary mobile / cell phone?,2016-07-13 00:10:41
159,36,2,Which of these is your carrier for your primary mobile / cell phone?,2016-07-13 00:10:41
294,36,3,"Which of these is your carrier for your primary mobile / cell phone?
",2016-07-13 00:10:42
37,37,1,What type of mobile phone plan do you have?,2016-07-13 00:10:41
160,37,2,What type of mobile phone plan do you have?,2016-07-13 00:10:41
295,37,3,What type of mobile phone plan do you have?,2016-07-13 00:10:42
38,38,1,Do you use a smart phone?,2016-07-13 00:10:41
161,38,2,Do you use a smart phone?,2016-07-13 00:10:41
296,38,3,Do you use a smart phone?,2016-07-13 00:10:42
39,39,1,What kind of internet connection(s) do you use at home?,2016-07-13 00:10:41
162,39,2,What kind of internet connection(s) do you use at home?,2016-07-13 00:10:41
297,39,3,What kind of internet connection(s) do you use at home?,2016-07-13 00:10:42
40,40,1,"Do you have access to download movies through gaming console, digital receiver, Blu-ray/DVD player or similar devices?",2016-07-13 00:10:41
163,40,2,"Do you have access to download movies through gaming console, digital receiver, Blu-ray/DVD player or similar devices?",2016-07-13 00:10:41
298,40,3,"Do you have access to download movies through gaming console, digital receiver, Blu-ray/DVD player or similar devices?
",2016-07-13 00:10:42
41,41,1,Which gaming platforms do you regularly use?,2016-07-13 00:10:41
164,41,2,Which gaming platforms do you regularly use?,2016-07-13 00:10:41
299,41,3,Which gaming platforms do you regularly use?,2016-07-13 00:10:42
42,42,1,What kind(s) of video/computer games do you play?,2016-07-13 00:10:41
165,42,2,What kind(s) of video/computer games do you play?,2016-07-13 00:10:41
300,42,3,What kind(s) of video/computer games do you play?,2016-07-13 00:10:42
43,43,1,How many hours per week do you spend playing video/computer games?,2016-07-13 00:10:41
166,43,2,How many hours per week do you spend playing video/computer games? ,2016-07-13 00:10:41
301,43,3,"How many hours per week do you spend playing video/computer games?
",2016-07-13 00:10:42
44,44,1,How do you play video/computer games?,2016-07-13 00:10:41
167,44,2,How do you play video/computer games?,2016-07-13 00:10:41
302,44,3,How do you play video/computer games?,2016-07-13 00:10:42
45,45,1,Which of the following devices do you use to play games?,2016-07-13 00:10:41
168,45,2,Which of the following devices do you use to play games?,2016-07-13 00:10:41
303,45,3,"Which of the following devices do you use to play games?
",2016-07-13 00:10:42
46,46,1,"On average, how many computer/video games a month do you purchase?",2016-07-13 00:10:41
169,46,2,"On average, how many computer/video games a month do you purchase?",2016-07-13 00:10:41
304,46,3,"On average, how many computer/video games a month do you purchase?
",2016-07-13 00:10:42
47,47,1,Do you play video games with others online? (e.g. Xbox Live or World of Warcraft)?,2016-07-13 00:10:41
170,47,2,Do you play video games with others online? (e.g. Xbox Live or World of Warcraft)?,2016-07-13 00:10:41
305,47,3,Do you play video games with others online? (e.g. Xbox Live or World of Warcraft)?,2016-07-13 00:10:42
48,48,1,"On average, how many hours of television do you watch per week?",2016-07-13 00:10:41
171,48,2,"On average, how many hours of television do you watch per week?",2016-07-13 00:10:41
306,48,3,"On average, how many hours of television do you watch per week?
",2016-07-13 00:10:42
49,49,1,"On average, how many hours of radio do you listen to per week?",2016-07-13 00:10:41
172,49,2,"On average, how many hours of radio do you listen to per week?",2016-07-13 00:10:41
307,49,3,"On average, how many hours of radio do you listen to per week?
",2016-07-13 00:10:42
50,50,1,Which types of publications do you read?,2016-07-13 00:10:41
173,50,2,Which types of publications do you read?,2016-07-13 00:10:41
308,50,3,"Which types of publications do you read?
",2016-07-13 00:10:42
51,51,1,For which purposes do you travel by plane?,2016-07-13 00:10:41
174,51,2,For which purposes do you travel by plane?,2016-07-13 00:10:41
309,51,3,"For which purposes do you travel by plane?
",2016-07-13 00:10:42
52,52,1,"When you fly, which types of flights to you take?",2016-07-13 00:10:41
175,52,2,"When you fly, which types of flights to you take?",2016-07-13 00:10:41
310,52,3,"When you fly, which types of flights do you take?
",2016-07-13 00:10:42
53,53,1,Which  domestic airlines have you flown with during the last 12 months?,2016-07-13 00:10:41
176,53,2,Which  domestic airlines have you flown with during the last 12 months?,2016-07-13 00:10:41
311,53,3,Which  domestic airlines have you flown with during the last 12 months?,2016-07-13 00:10:42
54,54,1,Which international airlines have you flown with during the last 12 months?,2016-07-13 00:10:41
177,54,2,Which international airlines have you flown with during the last 12 months?,2016-07-13 00:10:41
312,54,3,Which international airlines have you flown with during the last 12 months?,2016-07-13 00:10:42
55,55,1,Which of the following countries/regions have you travelled to in the last 12 months?,2016-07-13 00:10:41
178,55,2,Which of the following countries/regions have you travelled to in the last 12 months?,2016-07-13 00:10:41
313,55,3,Which of the following countries/regions have you travelled to in the last 12 months?,2016-07-13 00:10:42
56,56,1,"Of these hotel chains, which one(s) have you stayed at during the last 12 months?",2016-07-13 00:10:41
179,56,2,"Of these hotel chains, which one(s) have you stayed at during the last 12 months?",2016-07-13 00:10:41
314,56,3,"Of these hotel chains, which one(s) have you stayed at during the last 12 months?",2016-07-13 00:10:42
57,57,1,Do you smoke?,2016-07-13 00:10:41
180,57,2,Do you smoke?,2016-07-13 00:10:41
315,57,3,"Do you smoke?
",2016-07-13 00:10:42
58,58,1,"On average, how many cigarettes do you smoke in a day?",2016-07-13 00:10:41
181,58,2,"On average, how many cigarettes do you smoke in a day?",2016-07-13 00:10:41
316,58,3,"On average, how many cigarettes do you smoke in a day?
",2016-07-13 00:10:42
59,59,1,Have you tried to quit smoking using any of these products/methods?,2016-07-13 00:10:41
182,59,2,Have you tried to quit smoking using any of these products/methods?,2016-07-13 00:10:41
317,59,3,"Have you tried to quit smoking using any of these products/methods?
",2016-07-13 00:10:42
60,60,1,Have you been diagnosed with any of the following illnesses/conditions? ,2016-07-13 00:10:41
183,60,2,Have you been diagnosed with any of the following illnesses/conditions?,2016-07-13 00:10:41
318,60,3,Have you been diagnosed with any of the following illnesses/conditions?,2016-07-13 00:10:42
61,61,1,Have you been diagnosed with any of the following illnesses/conditions? ,2016-07-13 00:10:41
184,61,2,Have you been diagnosed with any of the following illnesses/conditions?,2016-07-13 00:10:41
319,61,3,Have you been diagnosed with any of the following illnesses/conditions? ,2016-07-13 00:10:42
62,62,1,"If you stated that you have been diagnosed with cancer, can you define the type of cancer?",2016-07-13 00:10:41
185,62,2,"If you stated that you have been diagnosed with cancer, can you define the type of cancer?",2016-07-13 00:10:41
320,62,3,"If you stated that you have been diagnosed with cancer, can you define the type of cancer?
",2016-07-13 00:10:42
63,63,1,"If you stated that you have been diagnosed with diabetes, can you define the type of diabetes?",2016-07-13 00:10:41
186,63,2,"If you stated that you have been diagnosed with diabetes, can you define the type of diabetes?",2016-07-13 00:10:41
321,63,3,"If you stated that you have been diagnosed with diabetes, can you define the type of diabetes?
",2016-07-13 00:10:42
64,64,1,"If you stated that you have been diagnosed with hepatitis, can you define the type of hepatitis?",2016-07-13 00:10:41
187,64,2,"If you stated that you have been diagnosed with hepatitis, can you define the type of hepatitis?",2016-07-13 00:10:41
322,64,3,"If you stated that you have been diagnosed with hepatitis, can you define the type of hepatitis?
",2016-07-13 00:10:42
65,65,1,Has anyone else in your household been diagnosed with any of the following illnesses/conditions? ,2016-07-13 00:10:41
188,65,2,Has anyone else in your household been diagnosed with any of the following illnesses/conditions? ,2016-07-13 00:10:41
323,65,3,Has anyone else in your household been diagnosed with any of the following illnesses/conditions? ,2016-07-13 00:10:42
66,66,1,Has anyone else in your household been diagnosed with any of the following illnesses/conditions? ,2016-07-13 00:10:41
189,66,2,Has anyone else in your household been diagnosed with any of the following illnesses/conditions? ,2016-07-13 00:10:41
324,66,3,Has anyone else in your household been diagnosed with any of the following illnesses/conditions? ,2016-07-13 00:10:42
67,67,1,"If you stated that someone in your household has been diagnosed with cancer, can you define the type of cancer?",2016-07-13 00:10:41
190,67,2,"If you stated that someone in your household has been diagnosed with cancer, can you define the type of cancer?",2016-07-13 00:10:41
325,67,3,"If you stated that someone in your household has been diagnosed with cancer, can you define the type of cancer?
",2016-07-13 00:10:42
68,68,1,"If you stated that someone in your household has been diagnosed with diabetes, can you define the type of diabetes?",2016-07-13 00:10:41
191,68,2,"If you stated that someone in your household has been diagnosed with diabetes, can you define the type of diabetes?",2016-07-13 00:10:41
326,68,3,"If you stated that someone in your household has been diagnosed with diabetes, can you define the type of diabetes?
",2016-07-13 00:10:42
69,69,1,"If you stated that someone in your household has been diagnosed with hepatitis, can you define the type of hepatitis?",2016-07-13 00:10:41
192,69,2,"If you stated that someone in your household has been diagnosed with hepatitis, can you define the type of hepatitis?",2016-07-13 00:10:41
327,69,3,"If you stated that someone in your household has been diagnosed with hepatitis, can you define the type of hepatitis?
",2016-07-13 00:10:42
70,70,1,Do you use glasses or contact lenses?,2016-07-13 00:10:41
193,70,2,Do you use glasses or contact lenses? ,2016-07-13 00:10:41
328,70,3,"Do you use glasses or contact lenses?
",2016-07-13 00:10:42
71,71,1,Do you use a hearing aid?,2016-07-13 00:10:41
194,71,2,Do you use a hearing aid?,2016-07-13 00:10:41
329,71,3,"Do you use a hearing aid?
",2016-07-13 00:10:42
72,72,1,Please enter the first three characters of your postal code.,2016-07-13 00:10:41
73,73,1,In which province or territory of Canada do you live? / Quelle est votre province de résidence?,2016-07-13 00:10:41
